"id","side","list","vote"
"35","Left","VEC",0
"35",NA,"REG",0
"35","Left","ECO",0
"35",NA,"AUT",0
"35","Right","CEN",0
"36","Left","EXG",0
"36","Left","FG",0
"36","Right","ALLI",0
"36","Right","PRV",0
"36","Right","NCE",0
"36","Right","UMP",43.19
"36","Right","DVD",0
"36","Right","FN",0
"36","Right","EXD",0
"36","Left","SOC",56.81
"36","Left","RDG",0
"36","Left","DVG",0
"36","Left","VEC",0
"36",NA,"REG",0
"36","Left","ECO",0
"36",NA,"AUT",0
"36","Right","CEN",0
"37","Left","EXG",0
"37","Left","FG",0
"37","Right","ALLI",0
"37","Right","PRV",0
"37","Right","NCE",0
"37","Right","UMP",46.34
"37","Right","DVD",0
"37","Right","FN",0
"37","Right","EXD",0
"37","Left","SOC",43.33
"37","Left","RDG",0
"37","Left","DVG",0
"37","Left","VEC",10.33
"37",NA,"REG",0
"37","Left","ECO",0
"37",NA,"AUT",0
"37","Right","CEN",0
"38","Left","EXG",0
"38","Left","FG",0
"38","Right","ALLI",0
"38","Right","PRV",0
"38","Right","NCE",0
"38","Right","UMP",44.6
"38","Right","DVD",0
"38","Right","FN",0
"38","Right","EXD",0
"38","Left","SOC",49.2
"38","Left","RDG",0
"38","Left","DVG",0
"38","Left","VEC",6.2
"38",NA,"REG",0
"38","Left","ECO",0
"38",NA,"AUT",0
"38","Right","CEN",0
"39","Left","EXG",0
"39","Left","FG",0
"39","Right","ALLI",0
"39","Right","PRV",0
"39","Right","NCE",0
"39","Right","UMP",53.2
"39","Right","DVD",0
"39","Right","FN",0
"39","Right","EXD",0
"39","Left","SOC",46.8
"39","Left","RDG",0
"39","Left","DVG",0
"39","Left","VEC",0
"39",NA,"REG",0
"39","Left","ECO",0
"39",NA,"AUT",0
"39","Right","CEN",0
"04","Left","EXG",0
"04","Left","FG",0
"04","Right","ALLI",0
"04","Right","PRV",0
"04","Right","NCE",0
"04","Right","UMP",43.75
"04","Right","DVD",0
"04","Right","FN",0
"04","Right","EXD",0
"04","Left","SOC",56.25
"04","Left","RDG",0
"04","Left","DVG",0
"04","Left","VEC",0
"04",NA,"REG",0
"04","Left","ECO",0
"04",NA,"AUT",0
"04","Right","CEN",0
"40","Left","EXG",0
"40","Left","FG",0
"40","Right","ALLI",0
"40","Right","PRV",0
"40","Right","NCE",0
"40","Right","UMP",40.04
"40","Right","DVD",0
"40","Right","FN",0
"40","Right","EXD",0
"40","Left","SOC",59.96
"40","Left","RDG",0
"40","Left","DVG",0
"40","Left","VEC",0
"40",NA,"REG",0
"40","Left","ECO",0
"40",NA,"AUT",0
"40","Right","CEN",0
"41","Left","EXG",0
"41","Left","FG",0
"41","Right","ALLI",0
"41","Right","PRV",0
"41","Right","NCE",35.8
"41","Right","UMP",17.43
"41","Right","DVD",0
"41","Right","FN",0
"41","Right","EXD",0
"41","Left","SOC",46.78
"41","Left","RDG",0
"41","Left","DVG",0
"41","Left","VEC",0
"41",NA,"REG",0
"41","Left","ECO",0
"41",NA,"AUT",0
"41","Right","CEN",0
"42","Left","EXG",0
"42","Left","FG",0
"42","Right","ALLI",0
"42","Right","PRV",0
"42","Right","NCE",7.98
"42","Right","UMP",35.78
"42","Right","DVD",0
"42","Right","FN",3.82
"42","Right","EXD",0
"42","Left","SOC",39.05
"42","Left","RDG",0
"42","Left","DVG",0
"42","Left","VEC",8.26
"42",NA,"REG",0
"42","Left","ECO",0
"42",NA,"AUT",0
"42","Right","CEN",5.1
"43","Left","EXG",0
"43","Left","FG",0
"43","Right","ALLI",0
"43","Right","PRV",0
"43","Right","NCE",0
"43","Right","UMP",58.29
"43","Right","DVD",0
"43","Right","FN",0
"43","Right","EXD",0
"43","Left","SOC",41.71
"43","Left","RDG",0
"43","Left","DVG",0
"43","Left","VEC",0
"43",NA,"REG",0
"43","Left","ECO",0
"43",NA,"AUT",0
"43","Right","CEN",0
"44","Left","EXG",0
"44","Left","FG",0
"44","Right","ALLI",6.04
"44","Right","PRV",0
"44","Right","NCE",7.5
"44","Right","UMP",31.62
"44","Right","DVD",0
"44","Right","FN",0
"44","Right","EXD",0
"44","Left","SOC",48.77
"44","Left","RDG",0
"44","Left","DVG",0
"44","Left","VEC",6.07
"44",NA,"REG",0
"44","Left","ECO",0
"44",NA,"AUT",0
"44","Right","CEN",0
"45","Left","EXG",0
"45","Left","FG",0
"45","Right","ALLI",0
"45","Right","PRV",0
"45","Right","NCE",0
"45","Right","UMP",52.68
"45","Right","DVD",0
"45","Right","FN",0
"45","Right","EXD",0
"45","Left","SOC",39.19
"45","Left","RDG",0
"45","Left","DVG",0
"45","Left","VEC",8.12
"45",NA,"REG",0
"45","Left","ECO",0
"45",NA,"AUT",0
"45","Right","CEN",0
"46","Left","EXG",0
"46","Left","FG",0
"46","Right","ALLI",0
"46","Right","PRV",0
"46","Right","NCE",0
"46","Right","UMP",40.15
"46","Right","DVD",0
"46","Right","FN",0
"46","Right","EXD",0
"46","Left","SOC",0
"46","Left","RDG",59.85
"46","Left","DVG",0
"46","Left","VEC",0
"46",NA,"REG",0
"46","Left","ECO",0
"46",NA,"AUT",0
"46","Right","CEN",0
"47","Left","EXG",0
"47","Left","FG",0
"47","Right","ALLI",0
"47","Right","PRV",0
"47","Right","NCE",17.29
"47","Right","UMP",27.16
"47","Right","DVD",0
"47","Right","FN",0
"47","Right","EXD",0
"47","Left","SOC",55.55
"47","Left","RDG",0
"47","Left","DVG",0
"47","Left","VEC",0
"47",NA,"REG",0
"47","Left","ECO",0
"47",NA,"AUT",0
"47","Right","CEN",0
"48","Left","EXG",0
"48","Left","FG",0
"48","Right","ALLI",0
"48","Right","PRV",0
"48","Right","NCE",0
"48","Right","UMP",50.52
"48","Right","DVD",0
"48","Right","FN",0
"48","Right","EXD",0
"48","Left","SOC",49.48
"48","Left","RDG",0
"48","Left","DVG",0
"48","Left","VEC",0
"48",NA,"REG",0
"48","Left","ECO",0
"48",NA,"AUT",0
"48","Right","CEN",0
"49","Left","EXG",0
"49","Left","FG",0
"49","Right","ALLI",0
"49","Right","PRV",0
"49","Right","NCE",7.63
"49","Right","UMP",40.95
"49","Right","DVD",0
"49","Right","FN",0
"49","Right","EXD",0
"49","Left","SOC",37.25
"49","Left","RDG",5.86
"49","Left","DVG",8.32
"49","Left","VEC",0
"49",NA,"REG",0
"49","Left","ECO",0
"49",NA,"AUT",0
"49","Right","CEN",0
"05","Left","EXG",0
"05","Left","FG",0
"05","Right","ALLI",0
"05","Right","PRV",0
"05","Right","NCE",0
"05","Right","UMP",43.96
"05","Right","DVD",0
"05","Right","FN",0
"05","Right","EXD",0
"05","Left","SOC",28.29
"05","Left","RDG",27.75
"05","Left","DVG",0
"05","Left","VEC",0
"05",NA,"REG",0
"05","Left","ECO",0
"05",NA,"AUT",0
"05","Right","CEN",0
"50","Left","EXG",0
"50","Left","FG",0
"50","Right","ALLI",0
"50","Right","PRV",0
"50","Right","NCE",0
"50","Right","UMP",53.29
"50","Right","DVD",0
"50","Right","FN",0
"50","Right","EXD",0
"50","Left","SOC",34.29
"50","Left","RDG",12.43
"50","Left","DVG",0
"50","Left","VEC",0
"50",NA,"REG",0
"50","Left","ECO",0
"50",NA,"AUT",0
"50","Right","CEN",0
"51","Left","EXG",0
"51","Left","FG",0
"51","Right","ALLI",0
"51","Right","PRV",0
"51","Right","NCE",14.04
"51","Right","UMP",42.12
"51","Right","DVD",0
"51","Right","FN",0
"51","Right","EXD",0
"51","Left","SOC",34.71
"51","Left","RDG",0
"51","Left","DVG",0
"51","Left","VEC",9.12
"51",NA,"REG",0
"51","Left","ECO",0
"51",NA,"AUT",0
"51","Right","CEN",0
"52","Left","EXG",0
"52","Left","FG",0
"52","Right","ALLI",0
"52","Right","PRV",0
"52","Right","NCE",0
"52","Right","UMP",57.64
"52","Right","DVD",0
"52","Right","FN",0
"52","Right","EXD",0
"52","Left","SOC",17.05
"52","Left","RDG",0
"52","Left","DVG",0
"52","Left","VEC",25.31
"52",NA,"REG",0
"52","Left","ECO",0
"52",NA,"AUT",0
"52","Right","CEN",0
"53","Left","EXG",0
"53","Left","FG",0
"53","Right","ALLI",0
"53","Right","PRV",0
"53","Right","NCE",0
"53","Right","UMP",46.76
"53","Right","DVD",0
"53","Right","FN",0
"53","Right","EXD",0
"53","Left","SOC",53.24
"53","Left","RDG",0
"53","Left","DVG",0
"53","Left","VEC",0
"53",NA,"REG",0
"53","Left","ECO",0
"53",NA,"AUT",0
"53","Right","CEN",0
"54","Left","EXG",0
"54","Left","FG",0
"54","Right","ALLI",0
"54","Right","PRV",8.07
"54","Right","NCE",0
"54","Right","UMP",36.15
"54","Right","DVD",0
"54","Right","FN",0
"54","Right","EXD",0
"54","Left","SOC",46.28
"54","Left","RDG",0
"54","Left","DVG",0
"54","Left","VEC",9.49
"54",NA,"REG",0
"54","Left","ECO",0
"54",NA,"AUT",0
"54","Right","CEN",0
"55","Left","EXG",0
"55","Left","FG",0
"55","Right","ALLI",0
"55","Right","PRV",31.36
"55","Right","NCE",0
"55","Right","UMP",20.67
"55","Right","DVD",0
"55","Right","FN",0
"55","Right","EXD",0
"55","Left","SOC",47.97
"55","Left","RDG",0
"55","Left","DVG",0
"55","Left","VEC",0
"55",NA,"REG",0
"55","Left","ECO",0
"55",NA,"AUT",0
"55","Right","CEN",0
"56","Left","EXG",0
"56","Left","FG",0
"56","Right","ALLI",0
"56","Right","PRV",0
"56","Right","NCE",0
"56","Right","UMP",37.67
"56","Right","DVD",9.46
"56","Right","FN",0
"56","Right","EXD",0
"56","Left","SOC",33.62
"56","Left","RDG",0
"56","Left","DVG",19.24
"56","Left","VEC",0
"56",NA,"REG",0
"56","Left","ECO",0
"56",NA,"AUT",0
"56","Right","CEN",0
"57","Left","EXG",0
"57","Left","FG",0
"57","Right","ALLI",0
"57","Right","PRV",4.95
"57","Right","NCE",0
"57","Right","UMP",33.47
"57","Right","DVD",0
"57","Right","FN",14.03
"57","Right","EXD",0
"57","Left","SOC",47.56
"57","Left","RDG",0
"57","Left","DVG",0
"57","Left","VEC",0
"57",NA,"REG",0
"57","Left","ECO",0
"57",NA,"AUT",0
"57","Right","CEN",0
"58","Left","EXG",0
"58","Left","FG",0
"58","Right","ALLI",0
"58","Right","PRV",0
"58","Right","NCE",0
"58","Right","UMP",36.38
"58","Right","DVD",0
"58","Right","FN",0
"58","Right","EXD",0
"58","Left","SOC",63.62
"58","Left","RDG",0
"58","Left","DVG",0
"58","Left","VEC",0
"58",NA,"REG",0
"58","Left","ECO",0
"58",NA,"AUT",0
"58","Right","CEN",0
"59","Left","EXG",0
"59","Left","FG",10.2
"59","Right","ALLI",0
"59","Right","PRV",2.72
"59","Right","NCE",4.49
"59","Right","UMP",27.44
"59","Right","DVD",3.08
"59","Right","FN",5.73
"59","Right","EXD",0
"59","Left","SOC",37.86
"59","Left","RDG",1.98
"59","Left","DVG",5.56
"59","Left","VEC",0.94
"59",NA,"REG",0
"59","Left","ECO",0
