"id","side","nom","vote"
"04","Left","JOLY",2.91
"04","Right","LE PEN",20.71
"04","Right","SARKOZY",25.47
"04","Left","MÉLENCHON",15.15
"04","Left","POUTOU",1.38
"04","Left","ARTHAUD",0.48
"04",NA,"CHEMINADE",0.28
"04","Right","BAYROU",7.42
"04","Right","DUPONT-AIGNAN",1.83
"04","Left","HOLLANDE",24.36
"40","Left","JOLY",1.83
"40","Right","LE PEN",14.1
"40","Right","SARKOZY",24.56
"40","Left","MÉLENCHON",12.51
"40","Left","POUTOU",1.48
"40","Left","ARTHAUD",0.48
"40",NA,"CHEMINADE",0.21
"40","Right","BAYROU",10.43
"40","Right","DUPONT-AIGNAN",1.64
"40","Left","HOLLANDE",32.75
"41","Left","JOLY",1.73
"41","Right","LE PEN",20.88
"41","Right","SARKOZY",28.35
"41","Left","MÉLENCHON",9.85
"41","Left","POUTOU",1.31
"41","Left","ARTHAUD",0.7
"41",NA,"CHEMINADE",0.26
"41","Right","BAYROU",9.76
"41","Right","DUPONT-AIGNAN",2.14
"41","Left","HOLLANDE",25.01
"42","Left","JOLY",1.96
"42","Right","LE PEN",21.55
"42","Right","SARKOZY",25.07
"42","Left","MÉLENCHON",11.18
"42","Left","POUTOU",1.08
"42","Left","ARTHAUD",0.61
"42",NA,"CHEMINADE",0.23
"42","Right","BAYROU",9.75
"42","Right","DUPONT-AIGNAN",2.11
"42","Left","HOLLANDE",26.46
"43","Left","JOLY",2.1
"43","Right","LE PEN",20.4
"43","Right","SARKOZY",24.42
"43","Left","MÉLENCHON",11.17
"43","Left","POUTOU",1.33
"43","Left","ARTHAUD",0.74
"43",NA,"CHEMINADE",0.22
"43","Right","BAYROU",11.17
"43","Right","DUPONT-AIGNAN",2.08
"43","Left","HOLLANDE",26.36
"44","Left","JOLY",3.15
"44","Right","LE PEN",12.18
"44","Right","SARKOZY",26.07
"44","Left","MÉLENCHON",11.65
"44","Left","POUTOU",1.25
"44","Left","ARTHAUD",0.58
"44",NA,"CHEMINADE",0.23
"44","Right","BAYROU",11.3
"44","Right","DUPONT-AIGNAN",1.84
"44","Left","HOLLANDE",31.76
"45","Left","JOLY",1.89
"45","Right","LE PEN",20.58
"45","Right","SARKOZY",29.31
"45","Left","MÉLENCHON",9.53
"45","Left","POUTOU",1.01
"45","Left","ARTHAUD",0.56
"45",NA,"CHEMINADE",0.25
"45","Right","BAYROU",9.31
"45","Right","DUPONT-AIGNAN",2.11
"45","Left","HOLLANDE",25.45
"46","Left","JOLY",2.67
"46","Right","LE PEN",13.48
"46","Right","SARKOZY",21.43
"46","Left","MÉLENCHON",14.38
"46","Left","POUTOU",1.45
"46","Left","ARTHAUD",0.55
"46",NA,"CHEMINADE",0.26
"46","Right","BAYROU",9.33
"46","Right","DUPONT-AIGNAN",1.94
"46","Left","HOLLANDE",34.51
"47","Left","JOLY",1.92
"47","Right","LE PEN",21.41
"47","Right","SARKOZY",25.32
"47","Left","MÉLENCHON",11.69
"47","Left","POUTOU",1.37
"47","Left","ARTHAUD",0.5
"47",NA,"CHEMINADE",0.23
"47","Right","BAYROU",8.85
"47","Right","DUPONT-AIGNAN",1.79
"47","Left","HOLLANDE",26.91
"48","Left","JOLY",2.61
"48","Right","LE PEN",17.3
"48","Right","SARKOZY",27.77
"48","Left","MÉLENCHON",12.41
"48","Left","POUTOU",1.29
"48","Left","ARTHAUD",0.53
"48",NA,"CHEMINADE",0.24
"48","Right","BAYROU",11.01
"48","Right","DUPONT-AIGNAN",1.69
"48","Left","HOLLANDE",25.15
"49","Left","JOLY",2.36
"49","Right","LE PEN",13.88
"49","Right","SARKOZY",29.93
"49","Left","MÉLENCHON",9.35
"49","Left","POUTOU",1.39
"49","Left","ARTHAUD",0.75
"49",NA,"CHEMINADE",0.26
"49","Right","BAYROU",12.77
"49","Right","DUPONT-AIGNAN",2.21
"49","Left","HOLLANDE",27.1
"05","Left","JOLY",3.63
"05","Right","LE PEN",17.7
"05","Right","SARKOZY",26.11
"05","Left","MÉLENCHON",14.03
"05","Left","POUTOU",1.33
"05","Left","ARTHAUD",0.56
"05",NA,"CHEMINADE",0.24
"05","Right","BAYROU",9.86
"05","Right","DUPONT-AIGNAN",2.05
"05","Left","HOLLANDE",24.49
"50","Left","JOLY",1.83
"50","Right","LE PEN",16.64
"50","Right","SARKOZY",28.82
"50","Left","MÉLENCHON",9.85
"50","Left","POUTOU",1.35
"50","Left","ARTHAUD",0.72
"50",NA,"CHEMINADE",0.29
"50","Right","BAYROU",11.2
"50","Right","DUPONT-AIGNAN",2.27
"50","Left","HOLLANDE",27.04
"51","Left","JOLY",1.51
"51","Right","LE PEN",22.44
"51","Right","SARKOZY",29.87
"51","Left","MÉLENCHON",8.52
"51","Left","POUTOU",1.19
"51","Left","ARTHAUD",0.66
"51",NA,"CHEMINADE",0.24
"51","Right","BAYROU",9.5
"51","Right","DUPONT-AIGNAN",2.03
"51","Left","HOLLANDE",24.05
"52","Left","JOLY",1.38
"52","Right","LE PEN",25.26
"52","Right","SARKOZY",27.99
"52","Left","MÉLENCHON",8.89
"52","Left","POUTOU",1.33
"52","Left","ARTHAUD",0.79
"52",NA,"CHEMINADE",0.24
"52","Right","BAYROU",7.97
"52","Right","DUPONT-AIGNAN",2.41
"52","Left","HOLLANDE",23.75
"53","Left","JOLY",2.12
"53","Right","LE PEN",14.77
"53","Right","SARKOZY",30.69
"53","Left","MÉLENCHON",8.3
"53","Left","POUTOU",1.31
"53","Left","ARTHAUD",0.78
"53",NA,"CHEMINADE",0.23
"53","Right","BAYROU",13.78
"53","Right","DUPONT-AIGNAN",2.14
"53","Left","HOLLANDE",25.87
"54","Left","JOLY",1.81
"54","Right","LE PEN",21.17
"54","Right","SARKOZY",24.21
"54","Left","MÉLENCHON",12.07
"54","Left","POUTOU",1.28
"54","Left","ARTHAUD",0.66
"54",NA,"CHEMINADE",0.28
"54","Right","BAYROU",8.69
"54","Right","DUPONT-AIGNAN",1.91
"54","Left","HOLLANDE",27.92
"55","Left","JOLY",1.6
"55","Right","LE PEN",25.82
"55","Right","SARKOZY",26.56
"55","Left","MÉLENCHON",8.85
"55","Left","POUTOU",1.5
"55","Left","ARTHAUD",0.7
"55",NA,"CHEMINADE",0.31
"55","Right","BAYROU",9.23
"55","Right","DUPONT-AIGNAN",2.04
"55","Left","HOLLANDE",23.4
"56","Left","JOLY",2.81
"56","Right","LE PEN",15.55
"56","Right","SARKOZY",28.15
"56","Left","MÉLENCHON",10.24
"56","Left","POUTOU",1.37
"56","Left","ARTHAUD",0.61
"56",NA,"CHEMINADE",0.27
"56","Right","BAYROU",10.85
"56","Right","DUPONT-AIGNAN",1.85
"56","Left","HOLLANDE",28.29
"57","Left","JOLY",1.73
"57","Right","LE PEN",24.73
"57","Right","SARKOZY",25.93
"57","Left","MÉLENCHON",9.52
"57","Left","POUTOU",1.39
"57","Left","ARTHAUD",0.76
"57",NA,"CHEMINADE",0.27
"57","Right","BAYROU",9.29
