"ville","users","lon","lat","address"
"montbeliard",43,6.798466,47.510356,"montbéliard, france"
"montbrison",12,4.063338,45.60745,"montbrison, france"
"montdidier",1,2.566932,49.647007,"80500 montdidier, france"
"montelimar",44,4.749496,44.556944,"montélimar, france"
"montigny le bretonneux",11,2.0360157,48.7738734,"montigny-le-bretonneux, france"
"montlucon",31,2.6019912,46.3415466,"montluçon, france"
"montmorillon",8,0.868048,46.424899,"montmorillon, france"
"montpellier",1196,3.876716,43.610769,"montpellier, france"
"montreuil",197,2.448451,48.863812,"montreuil, france"
"montrouge",66,2.317384,48.816363,"montrouge, france"
"morlaix",30,-3.828228,48.577613,"morlaix, france"
"mortagne au perche",1,0.5430779,48.522485,"61400 mortagne-au-perche, france"
"moulins",23,3.334417,46.568059,"moulins, france"
"mulhouse",147,7.335888,47.750839,"mulhouse, france"
"muret",10,1.33071,43.461574,"muret, france"
"nancy",538,6.184417,48.692054,"nancy, france"
"nanterre",97,2.215331,48.892423,"nanterre, france"
"nantes",1838,-1.553621,47.218371,"nantes, france"
"nantua",1,5.607762,46.153405,"nantua, france"
"narbonne",71,3.003078,43.184277,"narbonne, france"
"nerac",3,0.340128,44.136103,"nérac, france"
"neufchateau",6,5.694596,48.354965,"neufchâteau, france"
"neuilly sur marne",9,2.528373,48.856898,"neuilly-sur-marne, france"
"neuilly sur seine",109,2.26851,48.884831,"neuilly-sur-seine, france"
"nevers",46,3.162845,46.990896,"nevers, france"
"nice",1264,7.2619532,43.7101728,"nice, france"
"nimes",264,4.360054,43.836699,"nimes, france"
"niort",120,-0.464777,46.323716,"niort, france"
"nogent le rotrou",7,0.8217759,48.321762,"nogent-le-rotrou, france"
"nogent sur marne",28,2.481699,48.837631,"nogent-sur-marne, france"
"nogent sur seine",1,3.498165,48.49262,"10400 nogent-sur-seine, france"
"noisy le grand",23,2.55261,48.848579,"noisy-le-grand, france"
"noisy le sec",26,2.458625,48.892489,"noisy-le-sec, france"
"nontron",2,0.662239,45.530402,"nontron, france"
"nyons",1,5.140145,44.3618809,"26110 nyons, france"
"oloron sainte marie",1,-0.6052920,43.19441,"oloron-sainte-marie, france"
"orleans",385,1.909251,47.902964,"orléans, france"
"orly",13,2.401373,48.745193,"orly, france"
"palaiseau",49,2.245748,48.714509,"palaiseau, france"
"pamiers",9,1.607953,43.114753,"pamiers, france"
"pantin",44,2.40963,48.894533,"pantin, france"
"paris",34327,2.3522219,48.856614,"paris, france"
"parthenay",10,-0.251441,46.648825,"79200 parthenay, france"
"pau",233,-0.370797,43.2951,"pau, france"
"perigueux",70,0.7211149,45.184029,"périgueux, france"
"peronne",5,2.933353,49.933071,"péronne, france"
"perpignan",247,2.8948332,42.6886591,"perpignan, france"
"pessac",49,-0.630386,44.80583,"pessac, france"
"pithiviers",6,2.255849,48.173423,"45300 pithiviers, france"
"plaisir",21,1.949075,48.817223,"plaisir, france"
"pointe a pitre",10,1.989462,44.079822,"pointe-à-pitre, 81170 saint-marcel-campes, france"
"poissy",34,2.046982,48.929584,"poissy, france"
"poitiers",319,0.340375,46.580224,"poitiers, france"
"pontarlier",13,6.354242,46.9041039,"pontarlier, france"
"pontault combault",10,2.607598,48.801255,"pontault-combault, france"
"pontivy",9,-2.967056,48.066152,"pontivy, france"
"pontoise",29,2.100645,49.050966,"pontoise, france"
"prades",3,2.423231,42.617718,"66500 prades, france"
"privas",10,4.599039,44.735269,"privas, france"
"provins",6,3.299203,48.560149,"provins, france"
"puteaux",59,2.23964,48.884748,"puteaux, france"
"quimper",118,-4.097899,47.997542,"quimper, france"
"rambouillet",32,1.829079,48.643868,"rambouillet, france"
"redon",8,-2.083938,47.650742,"redon, france"
"reims",502,4.031696,49.258329,"reims, france"
"rennes",1229,-1.6777926,48.117266,"rennes, france"
"rethel",4,4.3662756,49.5084965,"08300 rethel, france"
"reze",20,-1.569382,47.190616,"rezé, france"
