"name","gender","party","twitter","mandates","ville","departement","type","id","statuses","followers","created","last_tweeted","age","followers_sample","sample"
"Jean-Baptiste LEMOYNE","m","UMP","jblemoyne","Sénateur","","yonne","Senator","232511465",8615,3444,2010,"2015-05-24",1628,3443,TRUE
"Xavier BRETON","m","UMP","bretonxavier","Conseiller municipal, Député","bourg en bresse","ain","MP","110940366",997,3423,2010,"2015-04-15",1959,3379,TRUE
"Philippe MARINI","m","UMP","philippe_marini","Maire, Président de Communauté d'Agglomération, Sénateur","compiegne","oise","Senator","1534099902",765,3400,2013,"2015-04-20",726,3380,TRUE
"Yannick MOREAU","m","UMP","yannickmoreau","Député, Maire","olonne sur mer","vendee","MP","402626426",2546,3384,2011,"2015-04-21",1323,3247,TRUE
"Virginie DUBY-MULLER","f","UMP","dubymuller","Conseiller régional, Député","","haute savoie","MP","531550143",2826,3382,2012,"2015-04-19",1182,3268,TRUE
"Philippe DURON","m","PS","philippeduron","Conseiller communautaire, Conseiller municipal, Député","","calvados","MP","359994523",7278,3381,2011,"2015-04-20",1394,3350,TRUE
"Jean-Pierre AUDY","m","UMP","audyjp","Conseiller municipal","","correze","Local","469977506",6208,3380,2012,"2015-04-20",1242,3372,TRUE
"Jérôme COUMET","m","PS","jerome_coumet","Maire","paris","paris","Local","84644257",8765,3359,2009,"2015-06-11",2061,3359,TRUE
"Agnès EVREN-DE FRESSENEL","f","UMP","adefressenel","Conseiller municipal","paris","paris","Local","528558611",3412,3353,2012,"2015-04-18",1185,3318,TRUE
"Eva SAS","f","EELV","evasasan","Député","","essonne","MP","489348571",2203,3353,2012,"2015-05-22",1221,3353,TRUE
"Rudy SALLES","m","UDI","rudysalles","Conseiller communautaire, Député, Maire adjoint","","alpes maritimes","MP","85947555",2489,3350,2009,"2015-04-21",2056,3240,TRUE
"Jacques BOUTAULT","m","EELV","jacquesboutault","Maire","paris","paris","Local","72301588",4123,3349,2009,"2015-06-10",2108,3348,TRUE
"Marie-Anne CHAPDELAINE","f","PS","ma_chapdelaine","Député","rennes","ille et vilaine","MP","613272422",1776,3346,2012,"2015-04-18",1091,3309,TRUE
"Alain CADEC","m","UMP","alaincadec","Député européen, Président de Conseil Départemental","","cotes d armor","MEP","467581610",1452,3330,2012,"2015-04-18",1244,3301,TRUE
"Seybah DAGOMA","f","PS","seybahdagoma","Député","paris","paris","MP","569194586",491,3315,2012,"2015-04-17",1140,3279,TRUE
"Richard GALY","m","DVD","richardgaly","Maire","mougins","alpes maritimes","Local","2308573644",258,3307,2014,"2015-06-11",508,3307,FALSE
"Didier GUILLAUME","m","PS","dguillaume26","Sénateur","","drome","Senator","555044349",2735,3300,2012,"2015-04-19",1156,3201,TRUE
"Gilles CARREZ","m","UMP","gillescarrez","Député, Maire, Vice-Président de Communauté d'Agglomération","","marne","MP","513300752",485,3283,2012,"2015-04-21",1200,3234,TRUE
"Sophie RIGAULT","f","UMP","sophierigault","Maire adjoint, Vice-Président de Conseil Départemental","saint michel sur orge","essonne","Local","73209385",7499,3281,2009,"2015-04-19",2104,3210,TRUE
"Fanélie CARREY-CONTE","f","PS","fcarreyconte","Député","paris","paris","MP","599975384",2252,3265,2012,"2015-04-21",1106,3184,TRUE
"Pierre CHEYNET","m","FN","pierrecheynet","Conseiller communautaire, Conseiller municipal","aurec sur loire","loire","Local","31716693",7922,3260,2009,"2015-04-21",2252,3257,TRUE
"Patrice CHARLES","m","FN","patricecharles","Conseiller communautaire, Conseiller municipal","valence","drome","Local","37641241",12674,3253,2009,"2015-04-21",2234,3232,TRUE
"Dominique ESTROSI SASSONE","f","UMP","dominiq_estrosi","Conseiller communautaire, Conseiller départemental, Maire adjoint, Sénateur","nice","alpes maritimes","Senator","260970438",1831,3240,2011,"2015-04-20",1564,3081,TRUE
"Joel BRUNEAU","m","UMP","joelbruneau","Maire, Président de Communauté d'Agglomération","caen","calvados","Local","272373179",1709,3232,2011,"2015-06-07",1543,3232,TRUE
"Dominique DORD","m","UMP","dominiquedord","Député, Maire, Président de Communauté d'Agglomération","aix les bains","savoie","MP","288670629",761,3229,2011,"2015-04-14",1511,3174,TRUE
"Olivier DARTIGOLLES","m","FDG","dartigolles","Conseiller communautaire, Conseiller municipal, Responsable politique national","pau","pyrenees atlantiques","Else","197544821",5070,3227,2010,"2015-04-21",1718,3202,TRUE
"Edouard COURTIAL","m","UMP","edouardcourtial","Conseiller communautaire, Conseiller municipal, Député, Président de Conseil Départemental","","oise","MP","95528939",550,3220,2009,"2015-04-20",2015,3002,TRUE
"Jean-Noël GUERINI","m","PS","jnguerini","Sénateur","","bouches du rhone","Senator","120120335",1304,3196,2010,"2015-04-01",1929,3145,TRUE
"Eric LEJOINDRE","m","PS","ericlejoindre","Conseiller régional, Maire","paris","paris","Local","104120115",2256,3194,2010,"2015-06-11",1981,3194,TRUE
"Bastien FRANCOIS","m","EELV","bfrancois_eelv","Conseiller régional","paris","paris","Local","212390393",3351,3186,2010,"2015-04-20",1683,3148,TRUE
"Luc CARVOUNAS","m","PS","luccarvounas","Maire, Sénateur, Vice-Président de Communauté d'Agglomération","alfortville","val de marne","Senator","1006325990",1187,3182,2012,"2015-04-21",916,3065,TRUE
"Christian KERT","m","UMP","christian_kert","Député","aix en provence","bouches du rhone","MP","479566469",2011,3158,2012,"2015-04-21",1232,3118,TRUE
"Franck PROUST","m","UMP","franckproust","Député européen, Maire adjoint","nimes","herault","MEP","327249605",3752,3149,2011,"2015-04-21",1446,3113,TRUE
"Stéphane DELPEYRAT","m","PS","delpeyrat","Maire, Vice-Président de Conseil Régional","","landes","Local","113861790",10942,3143,2010,"2015-06-11",1949,3143,TRUE
"Sandrine ROUSSEAU","f","EELV","sandrousseau","Conseiller régional, Responsable politique national","","nord","Else","371381075",4489,3140,2011,"2015-04-21",1374,3053,TRUE
"Alexandre RASSAERT","m","DVD","alexrassaert","Maire","gisors","eure","Local","37646509",8564,3133,2009,"2015-05-20",2234,3133,TRUE
"Arnaud JULIEN","m","UMP","arnaudjulien34","Conseiller municipal","","herault","Local","245290570",11183,3131,2011,"2015-04-21",1597,3041,TRUE
"Daniel VAILLANT","m","PS","danielvaillant","Conseiller municipal, Député","paris","paris","MP","501029533",381,3125,2012,"2015-04-16",1208,3073,TRUE
"Laurent MARCANGELI","m","UMP","lmarcangeli","Député","ajaccio","corse du sud","MP","86740782",971,3117,2009,"2015-05-22",2053,3117,TRUE
"Sylviane BULTEAU","f","PS","sylvianebulteau","Conseiller départemental, Député","","vendee","MP","69303932",4115,3102,2009,"2015-04-20",2119,3053,TRUE
"Jean-Philippe MAGNEN","m","EELV","jp_magnen","Conseiller régional","","loire atlantique","Local","187543625",3404,3097,2010,"2015-06-12",1744,3097,TRUE
"Meyer HABIB","m","UDI","meyer_habib","Député","","ETRANGER","MP","1851724262",301,3083,2013,"2015-04-21",644,3079,TRUE
"Daniel LECA","m","UDI","lecadaniel","Responsable politique national, Sans mandat électif courant","","","Else","87956977",2589,3062,2009,"2015-05-28",2048,3062,TRUE
"Constance LE GRIP","f","UMP","constancelegrip","Député européen","angers","maine et loire","MEP","338910451",3741,3013,2011,"2015-04-21",1427,2954,TRUE
"Vincent JEANBRUN","m","UMP","vincentjeanbrun","Maire","","paris","Local","165777773",3068,3012,2010,"2015-06-11",1800,3012,TRUE
"Pierre-Christophe BAGUET","m","UMP","pcbaguet","Maire, Président de Communauté d'Agglomération","boulogne billancourt","hauts de seine","Local","262266818",2633,3010,2011,"2015-04-20",1561,2933,TRUE
"Charles-Ange GINESY","m","UMP","ca_ginesy","Conseiller départemental, Député, Maire","","alpes maritimes","MP","87691954",1472,3006,2009,"2015-04-18",2049,2941,TRUE
"Sophie DESCHIENS","f","UMP","sdeschiens","Conseiller régional, Maire adjoint","levallois","hauts de seine","Local","274985153",16026,3002,2011,"2015-06-13",1538,3002,TRUE
"Alain LAMASSOURE","m","UMP","alamassoure","Député européen","","","MEP","2389235778",930,2991,2014,"2015-04-10",459,2974,TRUE
"Olivier BIANCHI","m","PS","olivierbianchi1","Maire, Président de Communauté d'Agglomération","clermont ferrand","puy de dome","Local","991900411",3094,2977,2012,"2015-06-07",922,2977,TRUE
"Marie-Françoise CLERGEAU","f","PS","clergeaumf","Député","nantes","loire atlantique","MP","432375298",2117,2975,2011,"2015-04-15",1285,2910,TRUE
"Christophe BOUILLON","m","PS","chris_bouillon","Député, Maire","","seine maritime","MP","295304575",1489,2971,2011,"2015-04-15",1499,2931,TRUE
"Jacques CHEMINADE","m","IND","jcheminade","Responsable politique national, Sans mandat électif courant","","","Else","150201042",3854,2954,2010,"2015-04-21",1842,2937,TRUE
"Marc-Philippe DAUBRESSE","m","UMP","daubresse_mp","Député, Maire, Vice-Président de Communauté d'Agglomération","lambersart","nord","MP","538945428",794,2950,2012,"2015-04-21",1175,2859,TRUE
"René SOUCHON","m","PS","rene_souchon","Président de Conseil Régional","aurillac","cantal","Local","64670219",3727,2919,2009,"2015-04-21",2135,2855,TRUE
"Philippe FOLLIOT","m","UDI","philippefolliot","Conseiller départemental, Député, Maire, Président de Communauté d'Agglomération, Responsable politique national","","tarn","MP","117052245",2408,2904,2010,"2015-04-20",1938,2855,TRUE
"Pierre MANSAT","m","FDG","mansat","Sans mandat électif courant","paris","paris","Else","16389678",1613,2901,2008,"2015-04-21",2459,2866,TRUE
"Corinne RUFET","f","EELV","cocoruf","Vice-Président de Conseil Régional","","","Local","227756066",11348,2893,2010,"2015-06-15",1641,2893,TRUE
"Annick GIRARDIN","f","PS","annickgirardin","Secrétaire d'Etat","","","Local","2517526903",587,2886,2014,"2015-04-20",389,2793,TRUE
"Estelle GRELIER","f","PS","estellegrelier","Conseiller communautaire, Député","","seine maritime","MP","106357883",3285,2876,2010,"2015-04-18",1974,2840,TRUE
"Danièle HOFFMAN-RISPAL","f","PS","dhoffmanrispal","Sans mandat électif courant","paris","paris","Else","414671299",539,2873,2011,"2014-11-05",1307,2874,TRUE
"Ronan DANTEC","m","EELV","ronandantec","Sénateur","nantes","loire atlantique","Senator","628475111",2765,2873,2012,"2015-05-25",1075,2873,TRUE
"Sarah PEILLON","f","PS","sarahpeillon","Conseiller communautaire, Conseiller régional","","rhone","Local","110808133",9961,2871,2010,"2015-06-13",1959,2871,TRUE
"Anne-Yvonne LE DAIN","f","PS","ayledain","Député, Vice-Président de Conseil Régional","montpellier","herault","MP","899545604",7825,2863,2012,"2015-04-20",966,2817,TRUE
"Karl OLIVE","m","UMP","karlolive","Maire, Vice-Président de Conseil Départemental","poissy","yvelines","Local","47118854",4116,2858,2009,"2015-06-11",2192,2859,TRUE
"Jean-Louis GAGNAIRE","m","PS","jlgagnaire","Député, Vice-Président de Conseil Régional","","loire","MP","117798111",8257,2856,2010,"2015-04-21",1935,2746,TRUE
"Geoffroy BOULARD","m","UMP","geoffroyboulard","Conseiller communautaire, Maire adjoint","paris","paris","Local","85040540",8976,2829,2009,"2015-04-19",2060,2782,TRUE
"Maud OLIVIER","f","PS","oliviermaud","Député","","essonne","MP","364245967",1512,2820,2011,"2015-04-21",1387,2755,TRUE
"Gabriel AMARD","m","FDG","gabrielamard","Responsable politique national, Sans mandat électif courant","","","Else","144631870",2083,2801,2010,"2015-05-24",1856,2801,TRUE
"Fabien ENGELMANN","m","FN","fabienengelmann","Maire","hayange","moselle","Local","595560322",1420,2793,2012,"2015-04-21",1111,2776,TRUE
"Arnaud LEROY","m","PS","ar_leroy","Député","","ETRANGER","MP","294099915",3570,2787,2011,"2015-04-21",1502,2706,TRUE
"Jean-Pierre MASSERET","m","PS","jpmasseret","Président de Conseil Régional, Sénateur","","moselle","Senator","423228943",970,2783,2011,"2015-05-21",1296,2784,TRUE
"Christophe ROSSIGNOL","m","EELV","c_rossignol","Conseiller régional","","indre et loire","Local","57632644",24472,2776,2009,"2015-06-13",2160,2776,TRUE
"Michel POUZOL","m","PS","michelpouzol","Député","","essonne","MP","68383304",532,2776,2009,"2015-04-21",2122,2678,TRUE
"Guy TEISSIER","m","UMP","guyteissier","Député, Président de Communauté d'Agglomération","","bouches du rhone","MP","570703871",1670,2774,2012,"2015-04-17",1138,2683,TRUE
"Gwendal ROUILLARD","m","PS","g_rouillard","Conseiller municipal, Député","lorient","morbihan","MP","856059444",1991,2762,2012,"2015-04-21",988,2706,TRUE
"Eric LOISELET","m","EELV","loiselet","Conseiller régional","","marne","Local","37740817",7420,2736,2009,"2015-06-14",2233,2736,TRUE
"Romain VAUDAN","m","FN","rvaudan","Conseiller municipal","lyon","rhone","Local","611461354",1830,2732,2012,"2015-06-14",1093,2736,TRUE
"Olivier FALORNI","m","PS","olivierfalorni","Conseiller régional, Député","la rochelle","charente maritime","MP","536485159",108,2728,2012,"2015-04-20",1177,2698,TRUE
"Jean-François MANCEL","m","UMP","jfmancel","Conseiller municipal, Député, Président de Communauté d'Agglomération","","oise","MP","409284332",2165,2715,2011,"2015-04-21",1314,2661,TRUE
"Alain HOUPERT","m","UMP","alainhoupert","Conseiller municipal, Sénateur","dijon","cote d or","Senator","101817931",4435,2697,2010,"2015-04-21",1988,2656,TRUE
"Isabelle LE CALLENNEC","f","UMP","lecallennec","Conseiller départemental, Député","","ille et vilaine","MP","280953384",1502,2690,2011,"2015-04-20",1526,2561,TRUE
"Pierre COHEN","m","PS","pcohen","Maire, Président de Communauté d'Agglomération","toulouse","haute garonne","Local","1139354426",124,2683,2013,"2015-04-10",865,2609,TRUE
"Patrice PRAT","m","PS","patriceprat","Conseiller communautaire, Conseiller municipal, Député","","gard","MP","110521463",699,2682,2010,"2015-04-21",1960,2621,TRUE
"Frédéric BOCCALETTI","m","FN","boccaletti83","Conseiller municipal, Conseiller régional","six fours les plages","var","Local","345332120",2219,2673,2011,"2015-04-17",1417,2617,TRUE
"Sébastien SEMERIL","m","PS","semeril","Maire adjoint, Vice-Président de Communauté d'Agglomération","rennes","ille et vilaine","Local","31771907",4114,2660,2009,"2015-04-17",2252,2608,TRUE
"Didier REAULT","m","UMP","didierreault","Maire adjoint, Vice-Président de Conseil Départemental","marseille","bouches du rhone","Local","384206154",8250,2649,2011,"2015-04-21",1352,2605,TRUE
"Aline ARCHIMBAUD","f","EELV","alinearchimbaud","Sénateur","","seine saint denis","Senator","398116889",554,2648,2011,"2015-05-11",1329,2648,TRUE
"Philippe NAUCHE","m","PS","philippenauche","Conseiller municipal, Député","","correze","MP","387335648",2870,2628,2011,"2015-04-20",1346,2565,TRUE
"Michèle TABAROT","f","UMP","mtabarot","Député, Maire","le cannet","alpes maritimes","MP","514546669",838,2613,2012,"2015-04-19",1198,2568,TRUE
"Stéphane GATIGNON","m","EELV","gatignon_steph","Maire","sevran","seine saint denis","Local","564658745",1614,2605,2012,"2015-06-14",1145,2606,TRUE
"Madjid MESSAOUDENE","m","FDG","madjidfalastine","Conseiller municipal","saint denis","seine saint denis","Local","39083212",18944,2603,2009,"2015-06-15",2227,2603,TRUE
"Frédéric BEATSE","m","PS","fbeatse","Conseiller municipal, Vice-Président de Conseil Régional","angers","maine et loire","Local","129771614",1584,2593,2010,"2015-04-17",1898,2576,TRUE
"Philippe GROSVALET","m","PS","pgrosvalet","Président de Conseil Départemental","","loire atlantique","Local","197439618",2049,2589,2010,"2015-04-21",1719,2501,TRUE
"Michel MENARD","m","PS","michel_menard","Conseiller départemental, Député","nantes","loire atlantique","MP","96175785",1902,2586,2009,"2015-04-21",2012,2537,TRUE
"Vincent ROGER","m","UMP","vincentroger754","Conseiller municipal, Conseiller régional","paris","paris","Local","709533354",3129,2584,2012,"2015-06-14",1059,2583,TRUE
"Frédéric AGUILERA","m","UMP","aguilera_fred","Maire adjoint, Vice-Président de Communauté d'Agglomération","vichy","allier","Local","20840041",9702,2582,2009,"2015-04-21",2313,2552,TRUE
"Gauthier BOUCHET","m","FN","gauthierbouchet","Conseiller communautaire, Conseiller municipal","saint nazaire","loire atlantique","Local","80850071",3667,2581,2009,"2015-04-20",2077,2578,TRUE
"Brice HORTEFEUX","m","UMP","bricehortefeux","Conseiller régional, Député européen","","puy de dome","MEP","2445174992",149,2542,2014,"2014-05-27",427,2542,FALSE
"Richard FERRAND","m","PS","richardferrand","Conseiller régional, Député","","finistere","MP","438305534",1693,2537,2011,"2015-04-19",1278,2485,TRUE
"Clotilde VALTER","f","PS","clotildevalter","Député","lisieux","calvados","MP","400219506",4237,2532,2011,"2015-04-21",1326,2480,TRUE
"Olivier VERAN","m","PS","olivierveran","Député","","isere","MP","600345740",2959,2525,2012,"2015-05-23",1105,2525,TRUE
"Nicolas PERRUCHOT","m","UDI","nicoperruchot","Conseiller régional","","loir et cher","Local","59165702",1703,2517,2009,"2015-04-19",2154,2501,TRUE
"Sophie PRIMAS","f","UMP","sophieprimas","Maire adjoint, Sénateur","aubergenville","yvelines","Senator","156608013",3614,2508,2010,"2015-04-21",1825,2405,TRUE
"Clément LACASSAGNE","m","UMP","clacassagne","Conseiller municipal","","rhone","Local","18716449",768,2496,2009,"2015-04-19",2351,2473,TRUE
"Jean MALLOT","m","PS","jeanmallot","Conseiller régional","","allier","Local","285008558",1503,2475,2011,"2015-04-18",1518,2473,TRUE
"David CORMAND","m","EELV","davidcormand","Conseiller régional, Responsable politique national","","","Else","525436041",3265,2468,2012,"2015-05-29",1188,2468,TRUE
"Myriam CAU","m","EELV","myricau","Vice-Président de Conseil Régional","","nord","Local","351511437",22830,2463,2011,"2015-06-15",1407,2463,TRUE
"Hubert FALCO","m","UMP","hubertfalco","Maire, Sénateur","toulon","var","Senator","2178364993",462,2460,2013,"2015-04-21",586,2427,TRUE
"Michel DANTIN","m","UMP","micheldantin","Député européen","chambery","savoie","MEP","1137018775",709,2460,2013,"2015-04-18",866,2419,TRUE
"Tokia SAIFI","f","UMP","tokiasaifi","Conseiller municipal, Député européen","","EUROPE","MEP","441101681",1494,2426,2011,"2015-04-21",1274,2372,TRUE
"Christophe BECHU","m","UMP","christophebechu","Maire, Président de Communauté d'Agglomération, Sénateur","angers","maine et loire","Senator","1949364050",1983,2412,2013,"2015-04-18",615,2393,TRUE
"Hervé CAEL","m","UDI","hervecael","Conseiller départemental","nice","alpes maritimes","Local","1022296842",3152,2411,2012,"2015-06-15",909,2411,TRUE
"Edouard MARTIN","m","PS","edouardmartineu","Député européen","","","MEP","2369520374",342,2409,2014,"2015-04-21",470,2399,TRUE
"Manuel AESCHLIMANN","m","UMP","maeschlimann","Maire","asnieres sur seine","hauts de seine","Local","26210155",1644,2401,2009,"2015-04-20",2275,2354,TRUE
"Catherine COUTELLE","f","PS","ccoutelle","Député","","vienne","MP","20159735",1346,2361,2009,"2015-04-21",2321,2309,TRUE
"Daniel PERCHERON","m","PS","danielpercheron","Président de Conseil Régional, Sénateur","calais","pas de calais","Senator","432405112",393,2361,2011,"2015-05-20",1285,2361,TRUE
"Jean-Louis ROUMEGAS","m","EELV","jlroumegas","Député","","herault","MP","234272306",557,2348,2011,"2015-04-20",1623,2296,TRUE
"Sophie DESSUS","f","PS","sophiedessus","Député, Maire","tulle","correze","MP","582163930",232,2346,2012,"2015-04-20",1125,2299,TRUE
"François PINTE","m","UMP","francoispinte","Conseiller régional","","loire atlantique","Local","111323397",1416,2343,2010,"2015-06-13",1958,2344,TRUE
"Julien JANVIER","m","UDI","julienjanvier","Conseiller départemental","","charente maritime","Local","16040704",25249,2332,2008,"2015-06-15",2482,2332,TRUE
"Patrice BESSAC","m","FDG","patricebessac","Maire, Responsable politique national","montreuil","seine saint denis","Else","47938576",915,2329,2009,"2015-05-29",2190,2329,TRUE
"Alain FONTANEL","m","PS","alainfontanel","Conseiller régional, Maire adjoint","strasbourg","bas rhin","Local","605567678",1330,2327,2012,"2015-06-10",1099,2327,TRUE
"Yoann GILLET","m","FN","yoanngillet_fn","Sans mandat électif courant","beaucaire","gard","Else","98735932",2675,2321,2009,"2015-06-14",2001,2321,TRUE
"Natacha BOUCHART","f","UMP","natachabouchart","Conseiller régional, Sénateur","calais","pas de calais","Senator","551342517",1584,2319,2012,"2015-05-23",1160,2319,TRUE
"Gérard SEBAOUN","m","PS","gerardsebaoun","Député","","val d oise","MP","74196974",4159,2315,2009,"2015-04-21",2100,2264,TRUE
"Christophe FRASSA","m","UMP","c_frassa","Sénateur","","ETRANGER","Senator","343884304",2504,2311,2011,"2015-04-21",1419,2262,TRUE
"Stéphane BEAUDET","m","UMP","beaudetstephane","Conseiller régional, Maire, Vice-Président de Communauté d'Agglomération","evry","essonne","Local","636832999",4096,2310,2012,"2015-04-21",1065,1713,TRUE
"Philippe VASSEUR","m","PS","philippevasseur","Sans mandat électif courant","","","Else","35694997",3336,2304,2009,"2015-04-18",2241,2277,TRUE
"Frédéric LETURQUE","m","UDI","fleturque","Maire, Vice-Président de Communauté d'Agglomération","arras","pas de calais","Local","1187428428",2677,2297,2013,"2015-04-21",849,2222,TRUE
"Stéphane TRAVERT","m","PS","sttravert","Conseiller régional, Député","","manche","MP","382747703",5927,2293,2011,"2015-04-17",1354,2223,TRUE
"Stéphane PONCET","m","FN","fnvilleurbanne","Conseiller municipal","villeurbanne","rhone","Local","110366274",28289,2291,2010,"2015-04-21",1961,2287,TRUE
"Bernard MONOT","m","FN","bernard_monot","Député européen","","","MEP","2347360369",788,2284,2014,"2015-04-21",484,2113,TRUE
"Christophe BOUDOT","m","FN","chboudot","Conseiller communautaire, Conseiller municipal, Conseiller régional","lyon","rhone","Local","632413317",2578,2282,2012,"2015-04-21",1070,2216,TRUE
"Franck MARGAIN","m","DVD","franckmargain","Conseiller municipal, Conseiller régional, Responsable politique national","paris","paris","Else","305827361",1949,2276,2011,"2015-05-28",1481,2276,TRUE
"Fabrice VERDIER","m","PS","f_verdier","Conseiller régional, Député, Maire","","gard","MP","454892339",1544,2275,2012,"2015-04-21",1259,2184,TRUE
"Christophe CAVARD","m","EELV","ccavard","Député","","gard","MP","216290050",1064,2255,2010,"2015-04-21",1673,2205,TRUE
"Martine LIGNIERES-CASSOU","f","PS","lignierescassou","Député","","pyrenees atlantiques","MP","525723587",1363,2251,2012,"2015-04-17",1187,2219,TRUE
"Sophie DION","f","UMP","sophiedionbaud","Député","","haute savoie","MP","136239243",1152,2245,2010,"2015-04-19",1880,2181,TRUE
"Patrick ALLEMAND","m","PS","patrickallemand","Conseiller municipal, Vice-Président de Conseil Régional","nice","alpes maritimes","Local","227303148",3197,2243,2010,"2015-06-12",1643,2243,TRUE
"Catherine PROCACCIA","f","UMP","cprocaccia","Sénateur","vincennes","val de marne","Senator","599968486",7328,2242,2012,"2015-04-21",1106,2228,TRUE
"Gaëlle LENFANT","f","PS","gaellelenfant","Conseiller municipal, Vice-Président de Conseil Régional","aix en provence","bouches du rhone","Local","326326834",5467,2242,2011,"2015-04-21",1447,2217,TRUE
"Mickaël MARIE","m","EELV","mickamarie","Conseiller régional","","","Local","79247611",6610,2237,2009,"2015-03-25",2082,2217,TRUE
"Nicolas MARANDON","m","PS","nicomarandon","Conseiller municipal, Conseiller régional","reims","marne","Local","6572442",5709,2233,2007,"2015-04-21",2934,2167,TRUE
"Guillaume MORIN","m","MODEM","gumorin","Conseiller municipal","vannes","morbihan","Local","583064336",25557,2213,2012,"2015-04-21",1124,2211,TRUE
"Francis CHOUAT","m","PS","fchouat","Maire, Président de Communauté d'Agglomération","evry","essonne","Local","282687869",2651,2209,2011,"2015-06-10",1522,2209,TRUE
"Adrien GROSJEAN","m","FN","adriengrosjean","Conseiller municipal","cannes","alpes maritimes","Local","113591830",1145,2199,2010,"2015-04-20",1950,2195,TRUE
"François ZOCCHETTO","m","UDI","fzocchetto","Sénateur","laval","mayenne","Senator","1274683212",416,2196,2013,"2015-05-23",821,2196,TRUE
"Dominique POTIER","m","PS","potierdominique","Député","","meurthe et moselle","MP","450644069",415,2194,2011,"2015-04-21",1264,2137,TRUE
"Michèle SABBAN","f","PS","michele_sabban","Conseiller régional","","val de marne","Local","87166450",3454,2193,2009,"2015-06-15",2051,2193,TRUE
"Julie NOUVION","f","EELV","juliiiie","Conseiller régional","","seine et marne","Local","19925292",10801,2188,2009,"2015-06-15",2324,2188,TRUE
"Guy DELCOURT","m","PS","guy_delcourt","Député","calais","pas de calais","MP","520215726",6271,2186,2012,"2015-04-20",1193,2109,TRUE
"Loïc HERVE","m","UDI","loichervepublic","Maire, Président de Communauté d'Agglomération, Sénateur","","haute savoie","Senator","252233750",6766,2183,2011,"2015-04-21",1582,1867,TRUE
"Charles de COURSON","m","UDI","c_decourson","Député","","marne","MP","436816838",8,2177,2011,"2014-05-13",1279,2177,FALSE
"Franck BOISSIER","m","FDG","franckboissier","Conseiller municipal","montreuil","seine saint denis","Local","62517318",16084,2175,2009,"2015-06-14",2143,2174,TRUE
"Frédéric VALLETOUX","m","UMP","fredvalletoux","Conseiller régional, Maire","fontainebleau","seine et marne","Local","72705507",1892,2171,2009,"2015-06-15",2106,2171,TRUE
"Régis GODEC","m","EELV","regisgodec","Conseiller communautaire, Conseiller municipal","toulouse","haute garonne","Local","60607266",3757,2145,2009,"2015-04-11",2150,2102,TRUE
"Michel DESTOT","m","PS","mdestot","Député","grenoble","isere","MP","583752447",362,2139,2012,"2015-04-21",1124,2083,TRUE
"Christine DE VEYRAC","f","UDI","chdeveyrac","Sans mandat électif courant","","","Else","60052548",2595,2137,2009,"2015-04-13",2152,2120,TRUE
"Paul MOLAC","m","IND","paul_molac","Député","","morbihan","MP","450968514",769,2135,2011,"2015-04-16",1263,2072,TRUE
"Jacques FERNIQUE","m","EELV","jacquesfernique","Conseiller municipal, Conseiller régional","geispolsheim","bas rhin","Local","102088558",2171,2123,2010,"2015-04-19",1988,2101,TRUE
"Philippe VITEL","m","UMP","philippevitel","Député","","var","MP","401888912",1694,2122,2011,"2015-04-15",1324,2122,TRUE
"Olivier THOMAS-2","m","UMP","olivierthomas_","Conseiller municipal","le plessis robinson","hauts de seine","Local","76125538",2921,2121,2009,"2015-06-09",2093,2120,TRUE
"Bernard CARAYON","m","UMP","bernardcarayon","Maire","lavaur","tarn","Local","454756200",5582,2113,2012,"2015-06-10",1259,2114,TRUE
"Jack LANG","m","PS","jack_lang","Sans mandat électif courant","","","Else","1728870018",563,2112,2013,"2015-04-21",650,2081,TRUE
"Pierre MOREL-A-L'HUISSIER","m","UMP","morelpierre","Député","","lozere","MP","110940220",2052,2111,2010,"2015-05-25",1959,2111,TRUE
"Maité SANCHEZ-SCHMID","f","UMP","sanchezschmid","Sans mandat électif courant","","","Else","149147611",1796,2108,2010,"2015-04-03",1845,2109,TRUE
"Henri JIBRAYEL","m","PS","henrijibrayel","Conseiller départemental, Député","paris","paris","MP","266432967",1217,2106,2011,"2015-04-08",1554,2064,TRUE
"Nordine IDIR","m","FDG","idirnordine","Responsable politique national, Sans mandat électif courant","","","Else","354369488",1504,2105,2011,"2015-04-15",1402,2105,TRUE
"Michelle MEUNIER","f","PS","meuniermichelle","Sénateur","","loire atlantique","Senator","383243238",1350,2104,2011,"2015-04-16",1354,2064,TRUE
"Etienne BOUSQUET-CASSAGNE","m","FN","etienne_bc","Conseiller municipal","villeneuve sur lot","lot et garonne","Local","1379055379",639,2098,2013,"2015-06-09",782,2098,TRUE
"Jean-Paul BACHY","m","DVG","jpbachy","Président de Conseil Régional","","ardennes","Local","101222394",1346,2097,2010,"2015-06-12",1991,2097,TRUE
"Jean-Marc BRULE","m","EELV","jeanmarcbrule","Conseiller régional","massy","seine et marne","Local","57000248",2829,2095,2009,"2015-06-06",2162,2095,TRUE
"Sandrine HUREL","f","PS","sandrinehurel","Député","dieppe","seine maritime","MP","539691398",229,2068,2012,"2015-04-21",1174,2013,TRUE
"Fabien ROBERT","m","MODEM","fabienrobert","Conseiller communautaire, Maire adjoint","bordeaux","gironde","Local","115870564",3119,2060,2010,"2015-04-21",1942,2008,TRUE
