"name","gender","party","twitter","mandates","ville","departement","type","id","statuses","followers","created","last_tweeted","age","followers_sample","sample"
"Jean Claude CROZE","m","IND","jccroze","Maire, Vice-Président de Communauté d'Agglomération","","savoie","Local","1012926728",380,119,2012,"2015-04-14",913,114,FALSE
"Maurice ANTISTE","m","PS","mauriceantiste","Sénateur","francois","DOM TOM","Senator","1751819666",7,118,2013,"2014-03-05",647,118,FALSE
"Claire HOUBERT","f","IND","clairehoubert","Conseiller municipal","auvers sur oise","val d oise","Local","83904334",113,116,2009,"2015-04-21",2064,104,FALSE
"Bénédicte MARTIN","f","UMP","2012bmartin","Conseiller régional","","vaucluse","Local","472078423",98,115,2012,"2012-09-29",1240,115,FALSE
"Pierre MÉDEVIELLE","m","UDI","p_medevielle","Sénateur","boulogne sur gesse","haute garonne","Senator","3169219409",12,113,2015,"2015-05-21",62,113,FALSE
"Patrick DEGUISE","m","PS","patrickdeguise","Maire, Président de Communauté d'Agglomération","","","Local","1722716005",127,112,2013,"2014-09-14",652,111,FALSE
"Henri CABANEL","m","PS","senateurcabanel","Sénateur","","herault","Senator","3030599314",12,111,2015,"2015-05-19",125,111,FALSE
"Jean-Marc LEFRANC","m","UMP","jmlefranc1","Conseiller régional","","calvados","Local","492925804",44,110,2012,"2013-04-06",1217,110,FALSE
"Patrick TOULMET","m","UDI","toulmet_patrick","Conseiller régional","","seine saint denis","Local","2887482010",35,110,2014,"2015-05-07",206,110,FALSE
"François AUBEY","m","PS","aubeyf","Sénateur","mezidon canon","calvados","Senator","2976706774",18,108,2015,"2015-05-20",153,109,FALSE
"Daniel CHASSEING","m","UDI","danielchasseing","Sénateur","","correze","Senator","2849934544",12,108,2014,"2015-05-20",230,108,FALSE
"Laura BEROT","f","PS","lauraberot","Conseiller communautaire, Conseiller municipal","soisy","val d oise","Local","1471676588",48,108,2013,"2015-03-17",746,105,FALSE
"Bruno MAGNIER","m","PS","brunomagnier","Conseiller régional","","pas de calais","Local","444874177",23,107,2011,"2015-02-11",1270,107,FALSE
"Jean-Christophe VEYRINE","m","IND","jouy2014","Conseiller municipal","jouy le moutier","val d oise","Local","1735042380",250,107,2013,"2014-03-28",648,107,FALSE
"Catherine RIBES","f","EELV","ribescatherine","Conseiller régional","","hauts de seine","Local","1251457201",95,107,2013,"2015-04-16",830,107,FALSE
"Jean-Marie KUTNER","m","IND","enschilick","Conseiller municipal","schiltigheim","bas rhin","Local","1228231830",432,106,2013,"2015-02-10",837,103,FALSE
"Eric VALAT","m","MODEM","eric_valat","Sans mandat électif courant","montgeron","essonne","Else","354820102",105,106,2011,"2013-11-06",1402,105,FALSE
"Mélanie FORTIER","f","PRG","melanifortier","Conseiller régional","","indre et loire","Local","1960602654",21,104,2013,"2015-03-15",610,104,FALSE
"Noël COMMUNOD","m","EELV","noelcommunod","Conseiller régional","","haute savoie","Local","798559159",11,104,2012,"2014-10-24",1016,104,FALSE
"Antoine HERTH","m","UMP","antoineherth","Conseiller régional, Député","selestat","bas rhin","MP","377992263",0,103,2011,NA,1363,103,FALSE
"Didier LEGRAND","m","IND","dlegrand2014","Conseiller municipal","","","Local","1322228672",180,103,2013,"2014-06-24",805,102,FALSE
"Nicole TAQUET-LEROY","f","FDG","ntaquetleroy","Conseiller régional","","nord","Local","169886944",135,101,2010,"2015-06-02",1789,101,FALSE
"Eric HOULLEY","m","PS","erichoulley","Conseiller régional, Maire","lure","haute saone","Local","138435838",19,99,2010,"2012-11-26",1874,99,FALSE
"Philippe TRIMAILLE","m","UDI","trimaille2","Maire adjoint, Vice-Président de Communauté d'Agglomération","mulhouse","haut rhin","Local","2186985392",9,99,2013,"2014-02-18",582,99,FALSE
"Laurent LEYGUE","m","MODEM","leygue2014","Maire, Vice-Président de Communauté d'Agglomération","estavar","pyrenees orientales","Local","1356679142",87,98,2013,"2014-12-31",791,97,FALSE
"Bruno SIDO","m","UMP","brunosido1","Sénateur","","haute marne","Senator","2319063426",10,97,2014,"2015-05-13",502,97,FALSE
"Jean-Noël CARPENTIER","m","DVG","carpentierjn","Député, Maire","montigny les cormeilles","val d oise","MP","2468837369",28,97,2014,"2015-04-11",434,99,FALSE
"Antoine LEFÈVRE","m","UMP","antoinelaon","Maire, Sénateur","laon","aisne","Senator","1303614018",0,96,2013,NA,812,96,FALSE
"Dominique RIBERI","f","IND","dominiqueriberi","Conseiller communautaire, Maire","rochefort","charente maritime","Local","2252267347",215,96,2013,"2015-04-08",544,94,FALSE
"Alexis BLANC","m","IND","alexis_blanc","Conseiller municipal, Vice-Président de Conseil Régional","chateau d'oleron","charente maritime","Local","387785808",35,93,2011,"2015-06-07",1345,93,FALSE
"Jacques PERREUX","m","EELV","jacquesperreux","Conseiller municipal, Conseiller régional","vitry","val de marne","Local","2336532977",26,93,2014,"2015-03-30",490,93,FALSE
"Renaud HEE","m","EELV","renaudhee","Conseiller municipal","claye souilly","seine et marne","Local","454297421",1797,90,2012,"2015-06-12",1259,90,FALSE
"Charles FOURNIER","m","EELV","cfourniereelv","Conseiller régional","","loir et cher","Local","521360159",39,88,2012,"2015-06-14",1192,88,FALSE
"François COMMEINHES","m","UMP","fcommeinhes","Sénateur","","herault","Senator","3016812478",0,88,2015,NA,132,88,FALSE
"Martine VALLETON","f","UMP","martinevalleton","Conseiller régional","","seine saint denis","Local","780327259",5,88,2012,"2014-01-14",1025,88,FALSE
"Renaud LETITRE","m","UMP","rletitre","Maire adjoint","villeneuve loubet","alpes maritimes","Local","2149579201",222,87,2013,"2015-01-07",601,87,FALSE
"Antoine CHEREAU","m","DVD","antoine_chereau","Conseiller régional, Maire, Président de Communauté d'Agglomération","montaigu","vendee","Local","594591856",3,86,2012,"2013-05-25",1112,86,FALSE
"Eric CHEVAILLIER","m","EELV","erchev","Conseiller régional","","yvelines","Local","274962583",1,86,2011,"2012-06-11",1538,86,FALSE
"Raymond POMMET","m","IND","raymondpommet","Maire","essarts le roi","yvelines","Local","759225595",428,86,2012,"2015-04-20",1035,79,FALSE
"Catherine GINER","f","UMP","catherineginer","Conseiller régional, Maire adjoint","marseille","bouches du rhone","Local","1094570100",27,85,2013,"2015-06-11",881,85,FALSE
"Eleonore BEZ","f","FN","eleonore_bez","Conseiller régional","","","Local","3059051375",941,85,2015,"2015-04-21",112,83,FALSE
"Hilda TCHOBOIAN","f","PS","hildatchoboian","Conseiller régional","","rhone","Local","105930317",6,85,2010,"2010-02-23",1975,85,FALSE
"Catherine PIDOUX","f","PRG","catherinepidoux","Conseiller régional, Maire adjoint","amberieu en bugey","ain","Local","2339349073",122,84,2014,"2014-03-31",489,84,FALSE
"Michel AMIEL","m","PRG","michelamiel","Sénateur","","bouches du rhone","Senator","507370066",4,84,2012,"2013-10-20",1204,84,FALSE
"Yves HEMEDINGER","m","UMP","hemedingeryves","Conseiller régional, Maire adjoint","colmar","haut rhin","Local","848940792",57,83,2012,"2015-01-16",992,83,FALSE
"Monique RABIN","f","PS","moniqrabin","Conseiller municipal, Député","saint philbert de grand lieu","loire atlantique","MP","912050648",53,82,2012,"2015-06-14",960,82,FALSE
"Pascal MOYSON","m","DVG","pmoyson","Maire adjoint","villeneuve d ascq","nord","Local","174420271",107,82,2010,"2015-06-05",1777,82,FALSE
"Marc ANGENAULT","m","UMP","angenaultmarc","Maire, Vice-Président de Communauté d'Agglomération","loche","indre et loire","Local","3303119127",15,78,2015,"2015-06-13",17,78,FALSE
"Josette PHILIPPE","f","UMP","josettephilippe","Conseiller régional, Maire adjoint","dreux","eure et loir","Local","596465951",14,78,2012,"2015-06-09",1110,78,FALSE
"Jean-Jacques JEGOU","m","MODEM","jj_jegou","Responsable politique national, Sans mandat électif courant","","val de marne","Else","331662654",0,77,2011,NA,1439,77,FALSE
"Thierry COULOMBEL","m","PS","tcoulombel","Sans mandat électif courant","","","Else","70355718",950,77,2009,"2015-04-21",2115,76,FALSE
"Philippe ADNOT","m","UDI","ph_adnot","Sénateur","","aube","Senator","1429780758",0,75,2013,NA,762,75,FALSE
"Antoine VANDAELE","m","UMP","avan2014","Sans mandat électif courant","","manche","Else","1919917807",330,72,2013,"2014-03-21",624,71,FALSE
"Evelyne YONNET","f","PS","eyonnetsenat","Conseiller communautaire, Conseiller municipal, Sénateur","aubervilliers","seine saint denis","Senator","3128959935",79,71,2015,"2015-04-25",78,71,FALSE
"Michel CHASSIER","m","FN","michelchassier","Conseiller régional","","loir et cher","Local","970596259",4,68,2012,"2014-03-29",932,68,FALSE
"Philippe MADRELLE","m","PS","philmadrelle","Sénateur","","gironde","Senator","3166078852",14,67,2015,"2015-05-09",63,67,FALSE
"Raymond JOANNESSE","m","EELV","rjoannesse","Conseiller régional","","marne","Local","3177434541",366,67,2015,"2015-06-15",59,67,FALSE
"Sophie DELONG","f","UMP","delongsophie","Maire","langres","haute marne","Local","528430862",2,66,2012,"2014-03-25",1185,66,FALSE
"Emmanuelle BARDIN","f","UDI","bardinemma","Conseiller régional","","sarthe","Local","1673942084",17,65,2013,"2015-06-03",669,65,FALSE
"André ASCHIERI","m","EELV","aschieri2014","Conseiller régional, Maire","mouans sartoux","alpes maritimes","Local","2315865740",93,64,2014,"2014-03-26",503,64,FALSE
"Catherine JACOBI","f","FDG","catherinejacobi","Conseiller régional","bourges","cher","Local","1340081160",563,64,2013,"2014-11-18",797,64,FALSE
